# object: IRC+10216
# time: Mon Jun  5 21:13:50 2017
# number of values:         1200
# wave      flux          stdev           line
      2.39518      415.664      7.11342           1
      2.40117      427.912      5.92333           1
      2.40719      445.410      2.84021           1
      2.41321      454.559      1.53572           1
      2.41925      460.237      1.85073           1
      2.42531      465.863      1.33923           1
      2.43138      471.136      1.47362           1
      2.43746      475.617      2.19319           1
      2.44357      483.672      4.02803           1
      2.44968      493.901      2.11068           1
      2.45581      502.153      1.58952           1
      2.46196      509.822      1.23810           1
      2.46812      518.745      1.83304           1
      2.47430      530.113      1.21268           1
      2.48049      539.602      1.82081           1
      2.48670      550.126      1.54938           1
      2.49293      557.771      1.71770           1
      2.49917      567.223      1.96868           1
      2.50542      576.834      1.31273           1
      2.51170      584.744      1.63839           1
      2.51798      594.705      1.44776           1
      2.52429      603.688      1.73542           1
      2.53060      613.388      2.12672           1
      2.53694      627.433      3.02386           1
      2.54329      637.974      1.46792           1
      2.54966      644.941      1.70546           1
      2.55604      656.362      2.22597           1
      2.56244      665.591      2.54468           1
      2.56885      671.624      3.05053           1
      2.57528      684.575      3.29791           1
      2.58173      697.016      1.91143           1
      2.58819      706.681      1.27465           1
      2.59467      713.369      1.36181           1
      2.60031      721.364      1.83983           2
      2.60116      719.758      2.77088           1
      2.60682      727.920      2.00442           2
      2.60767      731.320      2.76546           1
      2.61335      737.981      1.78301           2
      2.61989      753.150      2.21281           2
      2.62645      767.366      1.80109           2
      2.63302      779.686      1.76221           2
      2.63961      791.972      1.66154           2
      2.64622      806.030      2.04283           2
      2.65284      819.593      1.79030           2
      2.65948      832.360      2.02535           2
      2.66614      846.964      2.15174           2
      2.67281      863.424      2.17780           2
      2.67950      878.039      1.89159           2
      2.68621      891.905      2.10818           2
      2.69294      908.116      2.02152           2
      2.69968      921.641      1.89458           2
      2.70643      938.596      2.24566           2
      2.71321      955.019      2.22069           2
      2.72000      973.674      2.16230           2
      2.72681      986.492      1.82245           2
      2.73363      998.035      2.15359           2
      2.74048      1012.39      2.11876           2
      2.74734      1026.64      2.17291           2
      2.75421      1047.59      2.15938           2
      2.76111      1063.02      2.28234           2
      2.76802      1079.26      2.02295           2
      2.77495      1094.49      2.04548           2
      2.78189      1110.07      2.67750           2
      2.78886      1129.04      2.44474           2
      2.79584      1145.65      2.06787           2
      2.80284      1160.76      2.28880           2
      2.80985      1177.69      2.44490           2
      2.81689      1195.81      2.58802           2
      2.82394      1214.24      2.61891           2
      2.83100      1237.63      3.02950           2
      2.83809      1254.66      1.86039           2
      2.84520      1271.29      2.57576           2
      2.85232      1293.31      3.05063           2
      2.85946      1314.30      2.56619           2
      2.86661      1332.93      2.34830           2
      2.87379      1350.42      2.99189           2
      2.88098      1372.45      3.11389           2
      2.88820      1393.60      3.23895           2
      2.89542      1414.61      2.26990           2
      2.90267      1429.97      1.86858           2
      2.90994      1444.92      2.27165           2
      2.91722      1462.00      2.16339           2
      2.92452      1478.21      1.94948           2
      2.93184      1489.85      1.48128           2
      2.93918      1502.64      2.05676           2
      2.94654      1513.68     0.938851           2
      2.95392      1519.83      1.28534           2
      2.96131      1523.78     0.959819           2
      2.96872      1523.15      1.03227           2
      2.97615      1514.87      1.73910           2
      2.98360      1507.55      2.37623           2
      2.99107      1498.68      3.66221           2
      2.99856      1487.16      4.46999           2
      3.00606      1480.80      4.98797           2
      3.01325      1463.71      8.12873           3
      3.01359      1478.87      6.63387           2
      3.02079      1479.71      6.27998           3
      3.02113      1480.80      10.0241           2
      3.02835      1517.99      6.98221           3
      3.03593      1552.94      10.2008           3
      3.04353      1594.88      9.52041           3
      3.05115      1626.28      5.58200           3
      3.05879      1639.35      4.33390           3
      3.06645      1647.39      5.69433           3
      3.07412      1659.05      5.27133           3
      3.08182      1696.15      7.87838           3
      3.08953      1726.48      6.73437           3
      3.09726      1760.52      10.0645           3
      3.10502      1818.30      5.11383           3
      3.11279      1850.75      12.1278           3
      3.12058      1916.11      12.2640           3
      3.12839      1973.62      9.30959           3
      3.13622      2034.18      7.11165           3
      3.14407      2079.27      6.56205           3
      3.15194      2127.40      6.13992           3
      3.15983      2165.83      6.50587           3
      3.16774      2212.81      5.26690           3
      3.17567      2247.36      4.90048           3
      3.18362      2285.30      6.18164           3
      3.19159      2328.29      5.54999           3
      3.19958      2362.24      4.48618           3
      3.20759      2385.88      3.42253           3
      3.21562      2421.74      5.96520           3
      3.22367      2459.05      4.87450           3
      3.23174      2492.70      5.67950           3
      3.23982      2531.64      5.33064           3
      3.24793      2568.76      5.72093           3
      3.25606      2609.86      4.54801           3
      3.26421      2635.20      3.86181           3
      3.27239      2666.64      4.86915           3
      3.28058      2697.35      5.76985           3
      3.28879      2741.05      7.42925           3
      3.29702      2782.45      6.05235           3
      3.30527      2814.37      4.63415           3
      3.31355      2852.55      6.60933           3
      3.32184      2887.50      4.96426           3
      3.33016      2927.94      6.09802           3
      3.33849      2961.72      4.51216           3
      3.34685      3000.40      7.47073           3
      3.35523      3050.84      6.98181           3
      3.36363      3088.35      5.18523           3
      3.37204      3127.55      5.74306           3
      3.38049      3156.14      4.59202           3
      3.38895      3186.75      5.57039           3
      3.39743      3246.22      9.35883           3
      3.40593      3289.41      4.62039           3
      3.41446      3313.41      5.00954           3
      3.42301      3352.43      6.27930           3
      3.43157      3393.68      4.95162           3
      3.44016      3427.27      6.04889           3
      3.44878      3463.91      7.17097           3
      3.45741      3505.93      8.90214           3
      3.46606      3544.84      7.99488           3
      3.47474      3585.75      9.94587           3
      3.48344      3630.18      6.97323           3
      3.49216      3667.29      8.12769           3
      3.50090      3712.17      10.4272           3
      3.50966      3748.07      11.2144           3
      3.50988      3851.59      20.2361           4
      3.51845      3772.10      15.4148           3
      3.51867      3830.04      21.9011           4
      3.52725      3804.08      27.0831           3
      3.52747      3871.47      19.5519           4
      3.53630      3930.81      5.95781           4
      3.54516      3974.79      7.47832           4
      3.55403      4007.62      5.60308           4
      3.56293      4034.66      12.6808           4
      3.57184      4094.32      17.7969           4
      3.58079      4164.53      6.80088           4
      3.58975      4204.29      6.78350           4
      3.59873      4249.97      7.69253           4
      3.60774      4305.25      7.45588           4
      3.61677      4348.20      5.87868           4
      3.62583      4393.55      8.36328           4
      3.63490      4443.64      8.20799           4
      3.64400      4495.85      10.5546           4
      3.65312      4558.67      9.17184           4
      3.66227      4601.86      8.05898           4
      3.67143      4646.64      9.54470           4
      3.68062      4701.31      6.77839           4
      3.68984      4744.84      8.16009           4
      3.69907      4786.68      8.47469           4
      3.70833      4851.03      8.01696           4
      3.71761      4891.20      7.99574           4
      3.72692      4949.46      8.75472           4
      3.73625      5009.66      7.94873           4
      3.74560      5039.23      5.38030           4
      3.75498      5082.33      9.00072           4
      3.76438      5134.37      7.90335           4
      3.77380      5177.43      7.46424           4
      3.78325      5247.29      8.66695           4
      3.79272      5322.18      10.7045           4
      3.80221      5386.66      7.11501           4
      3.81173      5422.00      4.75383           4
      3.82127      5468.36      10.0142           4
      3.83083      5538.84      10.1809           4
      3.84042      5604.57      12.5420           4
      3.85003      5687.35      13.6940           4
      3.85967      5750.33      8.77565           4
      3.86933      5794.29      9.94950           4
      3.87902      5854.04      12.1946           4
      3.88873      5906.98      11.7450           4
      3.89846      5961.71      16.3026           4
      3.90822      6019.50      15.0052           4
      3.91800      6064.40      17.0640           4
      3.92781      6137.21      15.8512           4
      3.93764      6194.40      15.1708           4
      3.94750      6242.28      17.4657           4
      3.95738      6315.45      17.3643           4
      3.96729      6398.13      13.7123           4
      3.97722      6454.20      22.2541           4
      3.98717      6566.24      19.0687           4
      3.99715      6647.22      11.2169           4
      4.00716      6711.87      17.4043           4
      4.01719      6766.95      11.8343           4
      4.02724      6819.39      6.36894           4
      4.03732      6838.10      4.51835           4
      4.04743      6847.65      4.74465           4
      4.05756      6858.29      4.61530           4
      4.06772      6869.59      2.90055           4
      4.08023      7461.35      20.1231           5
      4.09044      7495.03      17.4321           5
      4.10068      7552.07      14.3397           5
